@relation guacamole-client_Single_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
2,0,0.029851,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,67,0,clean
2,0,0.019802,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,101,0,clean
10,0.048077,0,0,7,465,17,5,12,207,1,1,2,0.5,1,1,208,22.86266,buggy
13,0.042904,0,1,1,74,4,3,11,19,1,5,8,0.375,13,13,303,6.32795,buggy
13,0.027548,0.008264,3,15,845,29,5,19,0,2,5,7,0.142857,235,113.16667,363,106.326245,clean
106,0.214912,0.017544,7,11,606,30,4,19,13,1,1,2,1,219,164.5,456,264.854621,clean
2,0.007143,0.007143,0,2,153,8,3,17,1,1,3,4,1,40,40,140,19.687545,clean
49,0.351064,0.170213,3,2,580,6,3,13,176,1,13,41,0.243902,229,174.5,94,0,clean
9,0,0.01148,0,6,754,22,5,21,294,2,2,2,1,257,116.33333,784,0,buggy
20,0.007505,0.030019,1,5,241,12,4,19,0,2,3,6,0.166667,83,83,533,92.587216,clean
1,0,0.004739,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,211,0,clean
2,0.010101,0.010101,0,4,787,7,3,10,2,1,1,1,1,4,4,99,0,clean
2,0,0.018519,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,108,0,clean
2,0.00813,0.00813,0,0,338,4,3,13,95,3,12,25,0.16,116,65,123,0,clean
1,0,0.012658,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,79,0,clean
5,0.006234,0,0,8,250,22,3,18,0,3,8,10,0.4,60,60,802,0,buggy
23,0.074324,0.081081,2,6,618,16,3,21,0,2,8,19,0.105263,26,14,148,5.775051,buggy
2,0.00578,0.00578,0,1,460,4,3,15,0,1,1,1,1,255,Infinity,173,0,clean
86,0.433333,0.044444,3,5,46,6,2,20,23,1,1,1,1,269,128.33333,180,31.453001,buggy
14,0.075472,0.012579,1,1,580,6,3,13,177,1,13,41,0.243902,229,174.5,159,0,clean
2,0.01,0,1,3,461,14,3,15,0,1,2,2,1,171,114.5,200,5.195295,clean
12,0.052632,0,0,10,618,25,5,21,0,2,8,19,0.105263,26,14,228,5.775051,buggy
