@relation crunch_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
13,0.039394,0,1,0,4,2,2,10,4,5,12,17,0.117647,4,2,330,18.285955,clean
8,0.036036,0,1,0,8,2,1,19,8,1,2,2,0.5,2,2,222,17.794798,clean
17,0.53125,0,1,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,32,18.530489,buggy
2,0.010526,0.010526,0,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,95,18.530489,buggy
2,0.003012,0.003012,0,1,44,2,2,12,44,1,2,2,0.5,2,1.5,332,16.609093,buggy
2,0.011905,0.011905,0,0,0,1,1,7,0,1,1,2,0.5,1,1,84,18.495628,clean
4,0.015873,0.015873,0,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,126,18.530489,buggy
1,0,0.010989,0,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,91,18.173512,buggy
41,0.239766,0,2,0,8,2,1,19,8,1,2,2,0.5,2,2,171,17.794798,clean
13,0.075581,0,1,1,380,2,2,11,380,3,9,14,0.285714,2,1.5,172,18.530489,buggy
3,0.00995,0.004975,0,0,0,1,1,14,0,1,2,3,0.333333,1,1,201,18.477776,clean
84,0.065527,0.054131,18,2,451,2,2,13,451,3,4,16,0.1875,4,3.5,702,18.173513,buggy
2,0.02381,0.02381,0,0,0,1,1,16,0,1,2,10,0.1,3,3,42,18.494093,clean
13,0.075581,0,1,1,386,3,3,10,5,5,12,17,0.117647,4,2,172,18.285955,clean
40,0.238095,0.079365,1,1,0,1,1,6,0,1,1,1,1,1,1,126,17.689693,buggy
7,0.044444,0.033333,3,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,90,18.173513,buggy
4,0.015873,0.015873,0,1,5,2,2,10,5,5,12,17,0.117647,4,2,126,18.285957,clean
41,0.074349,0.078067,8,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,269,18.173513,buggy
20,0.061151,0.010791,2,0,0,1,1,1,0,1,2,2,0.5,1,1,278,18.446873,clean
7,0.031111,0,1,2,217,3,3,10,5,5,12,17,0.117647,4,2,225,18.285955,clean
2,0.002778,0.002778,0,0,0,1,1,19,0,1,1,1,1,1,1,360,18.502945,clean
6,0.007634,0.003817,0,1,701,3,3,14,295,1,5,6,0.5,2,2,524,18.337053,clean
30,0.081761,0.012579,1,0,0,1,1,13,0,1,2,4,0.75,3,3,318,17.678301,clean
26,0.068063,0.068063,5,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,191,18.173513,buggy
36,0.131474,0.011952,3,1,438,3,3,13,394,1,2,4,0.75,3,3,251,17.678299,clean
41,0.239766,0,2,0,0,1,1,11,0,1,2,2,0.5,1,1,171,17.794798,clean
6,0.007059,0.007059,1,0,0,1,1,18,0,1,2,5,0.2,3,3,425,17.904263,clean
11,0.069565,0.026087,1,0,0,1,1,14,0,1,5,6,0.5,2,2,115,18.337053,clean
