@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
7,0.107692,0,0,1,16,7,5,13,9,5,18,52,0.192308,1,1,65,clean
11,0.007011,0,2,4,9,18,10,16,0,1,1,1,1,13,13,1569,buggy
2,0.003401,0.003401,0,2,62,19,10,19,0,5,9,11,0.090909,60,60,294,clean
3,0.011765,0,1,12,31,55,11,15,0,1,3,5,0.4,13,13,255,clean
2,0.003436,0,1,0,0,1,1,17,0,1,1,5,0.4,31,31,582,clean
2,0.000649,0.000649,0,1,0,2,2,14,0,3,4,4,0.5,1,1,1540,clean
5,0.006105,0,0,2,1,3,2,15,0,3,7,6,0.166667,4,4,819,buggy
14,0.042683,0,1,2,16,9,6,16,3,3,8,7,0.428571,52,52,328,clean
7,0.032258,0.080645,0,0,8,2,2,16,8,3,3,3,0.666667,8,8,62,clean
22,0.205882,0.009804,2,0,0,1,1,18,0,1,1,1,1,6,6,102,clean
10,0.117647,0,1,1,0,3,3,11,0,4,9,18,0.166667,17,17,85,clean
4,0.005464,0.005464,1,1,12,15,8,11,0,1,1,1,1,55,55,366,clean
25,0.106383,0,0,2,22,21,9,20,0,3,5,8,0.625,12,12,235,clean
35,0.375,0.022727,2,2,1,3,2,17,0,2,5,6,1,1,1,88,clean
56,0.252252,0.252252,1,2,6,12,6,17,1,4,21,56,0.232143,4,4,111,clean
56,0.096774,0.023656,2,4,49,24,10,11,1,5,12,18,0.333333,1,1,465,clean
29,0.194444,0.006944,2,1,8,14,8,15,0,4,22,61,0.065574,1,1,144,clean
19,0.061889,0,4,1,8,13,7,17,0,4,22,61,0.016393,7,7,307,clean
1,0.002232,0,0,5,71,29,12,18,0,2,2,2,1,35,35,448,clean
1,0.002208,0,0,5,83,32,13,19,0,5,9,11,0.090909,60,60,453,clean
232,3.566667,0.3,1,4,1,8,2,17,0,4,9,13,0.230769,2,2,60,clean
2,0.006061,0.006061,0,1,1,6,3,17,0,4,11,13,0.307692,7,7,165,clean
5,0.021097,0,0,8,10,21,6,15,0,2,6,12,0.083333,29,29,237,clean
16,0.051948,0,2,1,2,2,2,10,2,4,11,26,0.384615,4,4,308,clean
31,0.280488,0.097561,2,1,0,7,4,11,0,4,9,18,0.166667,17,17,82,clean
16,0.051948,0,2,1,6,7,6,16,3,4,22,61,0.114754,53,53,308,clean
7,0.107692,0,0,1,0,2,2,14,0,1,1,1,1,27,27,65,clean
16,0.056939,0,2,1,1,4,4,11,0,4,11,27,0.037037,11,11,281,clean
49,0.133333,0.070833,2,1,0,4,4,17,0,4,7,11,0.181818,18,18,240,clean
1,0.003831,0,0,13,76,69,12,16,0,1,1,1,1,64,64,261,clean
30,0.008353,0.027446,2,4,6,18,8,17,0,4,11,13,0.307692,7,7,838,clean
2,0.003067,0.003067,0,0,4,7,7,17,0,4,9,13,0.230769,2,2,326,clean
2,0.00495,0.00495,0,1,0,2,2,14,0,2,2,3,0.333333,1,1,202,clean
2,0.004032,0.004032,0,4,19,21,8,16,0,1,1,1,1,38,38,248,clean
4,0.006557,0.006557,1,1,1,2,1,15,1,4,9,11,0.272727,12,12,305,clean
2,0.000939,0.000939,0,2,24,15,7,19,16,1,1,1,1,64,64,1065,clean
7,0.010246,0.004098,3,1,1,4,4,11,0,4,11,27,0.037037,11,11,488,clean
16,0.056939,0,2,1,1,2,2,10,1,4,11,26,0.384615,4,4,281,clean
16,0.056939,0,2,1,6,9,7,15,0,4,22,61,0.065574,1,1,281,clean
14,0.042683,0,1,2,12,8,5,17,6,4,21,56,0.232143,4,4,328,clean
2,0.004494,0,1,1,2,6,5,14,0,1,1,2,0.5,33,33,445,clean
60,0.073325,0.002528,3,4,41,32,10,14,6,4,12,27,0.444444,66,66,791,clean
49,0.133333,0.070833,2,1,12,9,8,15,0,4,22,61,0.065574,1,1,240,clean
1,0.003367,0,0,0,19,4,4,10,18,5,9,11,0.545455,20,20,297,clean
6,0.12,0,0,2,6,7,4,16,3,4,15,22,0.227273,10,10,50,clean
49,0.133333,0.070833,2,1,0,3,3,17,0,3,6,7,0.285714,6,6,240,clean
21,0.032508,0,0,3,22,19,10,11,10,2,3,4,0.5,27,27,646,clean
5,0.021459,0,0,8,10,20,6,13,1,2,6,12,0.083333,15,15,233,clean
20,0.16,0.04,1,1,0,2,1,14,0,3,8,15,0.466667,66,66,100,clean
2,0.028986,0,1,1,3,9,6,11,0,4,11,27,0.074074,25,25,69,clean
5,0.000957,0.003828,0,5,53,26,9,18,0,2,2,2,1,18,18,1045,clean
9,0.010856,0,1,4,4,11,7,18,0,3,4,5,0.8,2,2,829,clean
17,0.043478,0.030435,2,2,11,15,8,15,0,4,22,61,0.065574,1,1,230,clean
27,0.016949,0.013559,1,5,56,23,10,20,0,1,2,2,0.5,44,44,885,clean
2,0.00495,0.00495,0,1,14,12,6,16,0,3,6,6,0.166667,13,13,202,clean
2,0.006667,0.006667,0,0,0,2,2,19,0,2,2,2,0.5,8,8,150,clean
29,0.194444,0.006944,2,1,8,12,7,16,3,4,22,61,0.114754,53,53,144,clean
26,0.091228,0,0,1,5,4,3,14,2,1,3,3,1,43,43,285,buggy
6,0.045455,0.022727,1,0,6,5,4,16,0,2,2,4,0.25,27,27,88,clean
15,0.02809,0,2,2,3,8,6,20,0,4,7,14,0.285714,5,5,534,clean
2,0.002151,0.002151,0,1,0,2,2,14,0,3,4,4,0.5,1,1,465,clean
17,0.034274,0,1,2,1,5,5,20,0,3,5,8,0.625,12,12,496,clean
7,0.004739,0.011848,1,3,16,19,9,17,0,4,22,61,0.016393,7,7,422,clean
27,0.016949,0.013559,1,5,56,22,10,20,0,1,2,2,1,43,43,885,buggy
1,0.010417,0,0,1,0,6,3,11,0,1,2,2,1,48,48,96,clean
27,0.183673,0,2,0,4,7,7,20,1,4,13,25,0.16,8,8,147,clean
2,0.005495,0.005495,0,1,0,3,3,20,0,1,1,9,0.222222,47,47,182,clean
105,1.552239,0.014925,2,2,3,8,4,11,2,4,11,12,0.166667,4,4,67,clean
2,0.002004,0.002004,0,4,47,22,9,17,0,2,2,2,0.5,25,25,499,clean
3,0.004695,0.00939,0,1,0,1,1,19,0,2,5,8,0.5,11,11,213,buggy
185,0.447853,0.119632,14,5,52,24,10,16,0,5,23,67,0.059701,4,4,326,clean
2,0.003407,0,1,0,3,2,2,16,3,3,5,17,0.294118,11,11,587,clean
220,0.742331,0.607362,0,2,0,3,1,18,0,1,2,2,1,7,7,163,buggy
57,0.173913,0.016722,8,2,0,5,4,11,0,4,9,18,0.166667,17,17,299,clean
1,0.00339,0,0,3,64,21,10,18,0,1,1,1,1,22,22,295,clean
2,0.006667,0.006667,0,0,1,6,3,17,0,4,11,13,0.307692,7,7,150,clean
6,0.006012,0.006012,1,3,45,15,9,15,0,1,1,1,1,40,40,499,clean
24,0.046875,0.046875,2,0,12,5,3,16,3,4,22,61,0.114754,53,53,256,clean
2,0.003521,0.003521,0,3,5,14,5,18,0,2,6,12,0.166667,10,10,284,clean
27,0.030675,0.002454,2,4,6,14,8,16,0,4,15,22,0.227273,10,10,815,clean
