@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
16,0.4,0.4,1,0,0,1,1,15,0,1,7,23,0.043478,1,1,20,29.445058,clean
2,0.017544,0.017544,0,3,138,4,2,14,15,1,1,2,1,731,424,57,0,clean
35,0.283582,0.238806,2,1,0,1,1,16,0,2,15,35,0.085714,138,138,67,17.249921,buggy
33,0.111111,0.003472,7,9,48,11,3,21,2,2,4,5,0.6,9,9,288,0,buggy
0,0,0,0,1,0,1,1,11,0,6,34,181,0.066298,107,58.5,234,0,buggy
15,0.084746,0,0,2,0,2,1,11,0,1,2,3,0.333333,8,8,177,4.212004,buggy
4,0.039216,0.039216,0,1,162,2,2,11,162,1,6,6,0.166667,2,2,51,49.373316,clean
5,0.017123,0,0,6,459,9,5,10,5,2,287,282,0.170213,309,273,292,29.023006,buggy
0,0,0,0,1,0,1,1,16,0,5,44,400,0.015,44,44,22,0,buggy
1,0,0.006536,0,1,0,1,1,18,0,1,10,65,0.092308,195,195,153,0,buggy
2,0,0.04878,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,41,0,clean
2,0.007353,0.007353,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,136,0,clean
2,0.004762,0.004762,0,3,105,5,3,13,13,1,285,493,0.018256,65,65,210,0,clean
2,0.003448,0.003448,0,6,312,10,7,19,0,1,1,1,1,83,36.166668,290,0,clean
2,0.02,0.02,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,50,0,clean
2,0.001333,0.001333,0,10,686,12,5,17,22,5,227,243,0.341564,98,50.5,750,1,buggy
13,0.236364,0,1,3,736,4,3,11,66,2,288,290,0.072414,867,636,55,10.112538,buggy
6,0.043478,0.043478,1,0,0,1,1,12,0,1,1,2,1,11,11,69,0,clean
2,0.005155,0.005155,0,6,707,6,3,17,99,5,227,243,0.341564,98,50.5,194,1,buggy
2,0.007092,0.007092,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,141,0,clean
2,0.012346,0.012346,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,81,0,clean
19,0.069231,0.076923,0,2,84,3,2,17,77,1,85,91,0.10989,152,103.5,130,0.006571,buggy
25,0.046512,0.147287,3,5,124,9,4,18,1,1,293,302,0.006623,121,121,129,0,clean
1,0,0.012195,0,0,0,1,1,11,0,4,49,63,0.666667,103,54,82,0,clean
2,0,0.025,0,2,454,2,2,17,454,2,178,337,0.338279,39,39,80,48.555574,buggy
0,0,0,0,0,0,1,1,14,0,2,2,10,0.1,121,72.5,59,0,clean
17,0.080808,0.005051,2,5,13,5,2,13,0,3,31,36,0.166667,42,42,198,4.490724,buggy
