Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
18bad0a4da1e8d6e97941cbe81c08c75a5284a2f,383,218,165,29,16,7,27,17,19.14117813,1
a95c4ace5bc1fcfa6e79600d5daffde606f856d6,4,1,3,0,1,1,8,1,3.779454708,0
7d96286e1b49dc170604dd76f81abfc3f397541a,1816,1812,4,10,9,3,24,13,20.63603401,1
c2a3bac147a786210b1ba4125a4be9edc66719c4,13,7,6,2,2,2,26,13,4.649549007,1
c84b270dac43875b36c8392226a2e1473f81b23a,12,6,6,0,1,1,3,1,3.988885641,0
f554233f63d5d373e1df60284b524141b8b225aa,21,17,4,1,1,1,3,2,5.374199867,0
3d9b1677069dd8e0c60244b1246b899c237c397d,18,16,2,2,1,1,5,3,5.157426834,0
739a7187ab6b14b312e069221efb8824b9f85067,185,182,3,7,8,5,27,12,21.92619133,0
81fedb16a4869783ff3dc3eb40f65ebd0c5fe13e,14,8,6,2,2,2,30,13,4.849224567,0
aab4c5e9ad7151ef5e77e1c21e16545be00dff11,4,2,2,0,1,1,2,2,3.851831436,0
33bfa90de9758d22ec49620f4c9db590ac7d0d45,112,76,36,12,8,4,128,23,16.98313332,0
b80648446f6dc3f0a0dd23394c8bc4bc8b09eeab,19,9,10,3,1,1,7,5,5.274367332,0
e96d356d03bc99711558fba53ba1f3e6514d5c38,40,31,9,1,1,1,1,1,7.183011055,0
f5d9e6fa1a21f69b5c8cca6282614402c6d20b4b,2689,2529,160,33,34,10,85,43,23.23263931,1
1e1da9570e2d07a1500d85c2b2b1e495624ece00,475,283,192,23,26,13,93,53,21.20500565,1
514adb1aba1ea9bfaf30c38bab27452cb50e948b,13,10,3,4,2,1,10,2,4.584797382,0
0ab2a9068deff342efd05345126ea923898325c8,37,20,17,4,1,1,22,3,8.340785027,0
629377e1eb6604abae310e5c6af29da6e4d64073,70,44,26,7,8,6,69,23,12.50698853,0
d174ec04dccb205de96e63c775e01f948380f8cc,52,33,19,2,2,2,6,4,7.225108624,1
6719a07cdc4e59ae1dd3cb4cc4c4a20297b455c2,6,3,3,2,1,1,2,2,4.614010811,0
6d89af352e1a92dd1338f5d9c6f9641581423cdc,1326,1218,108,26,23,6,140,48,18.69958687,0
06f713d9d11b15bb55858ca778d31496da89daec,206,111,95,14,6,1,79,22,18.28810501,0
71b689fd80d37598a6c5551c1c5c5b005b400395,32054,32054,0,259,259,36,1535,307,29.04709053,0
0fcd9b4842873578bbb8605fc7d4e72a4daecdf0,18,9,9,0,3,1,20,3,3.852752447,0
d914372597d1d2b0296d8fb01e1d95989f42c670,143,111,32,9,8,4,29,22,19.59282494,0
f74435fc3d91dc4ba40ce0c84c487cd24485129f,336,315,21,14,11,6,139,38,20.49853325,0
e5e7875141373e49548fd6851a30a04691ab25f2,8,4,4,1,1,1,2,1,4.506808758,0
be160bcda6e4baef3c82f799e790a26e40f30739,5,3,2,0,2,1,6,2,4.195879459,0
bb0542eb7474a95cc4c3698ef4e17518dd6210cf,96,77,19,9,2,2,21,8,14.6448307,0
155edb77d008e886b8b67b826db7f177bc0c8165,105,90,15,13,4,4,57,17,16.55846977,0
2db9920428393c3f1b00172941a1547a34babf31,33,33,0,1,1,1,2,1,12.31842899,0
10ef9fc272e2729826d07f923fb1508c8c85e60c,4,3,1,0,1,1,29,6,3.9862957,0
2f75797ab8bb26c29c152bbdd8bd97402f99b649,2575,2260,315,90,57,31,823,218,25.92711258,0
d2feea74adc95f174b9f16b82baea9ac6ecc0c75,336,315,21,14,11,6,150,49,20.49853134,0
c264ceeb2ebf0af7f653c4e604b2cd17f2de13e3,163,83,80,2,5,2,31,8,19.38043022,0
fc3c3c2c6880cf01da0371885bcac3af413140b5,3,2,1,1,1,1,4,2,4.014312744,0
872c2897af3e99e111719bb45ddde499d04d142b,121,60,61,3,1,1,1,1,15.36602879,0
973de6be57a7107454531242b2065034bd1a45e6,235,139,96,31,25,9,63,25,20.1821003,0
dbb0bab66e34095e02ab03793153badbc2804317,2,1,1,0,1,1,1,1,3.951369762,0
9237d24a99617c219ce9d4a4ab085621be3784d4,105,92,13,11,4,3,33,14,18.92890739,0
54d74a723d5371d740c623aef52933d785b2492b,389,227,162,4,5,3,6,6,22.54405594,0
f25e4104a7c12eb56cb695212bb047414ae153fa,98,58,40,6,3,2,82,15,13.92919159,0
817b5d7c16a18b5a68dc13da3e3ab7bbda25762c,4,2,2,1,1,1,3,2,4.421930313,0
2e732b48500f5856d9b4ba639960b8bd8baa8a1a,32,23,9,8,1,1,6,4,4.668163776,0
5ec56a6daf640a105c004a977fb69c0ab0c2f351,85,4,81,3,36,4,119,63,4.229969025,0
db4a6205ebf045a866bfad4c4751a3372c34af24,24,17,7,3,1,1,5,2,6.018297672,0
e16a436056ed6348947d4af94313de84d2a243b8,13,13,0,1,1,1,3,3,4.555283546,0
b813237c0a4eb296136d926ce87405948e62845a,607,381,226,44,19,6,100,32,20.65552139,0
601681dc4abd7bd677a5e3eb02fd7d1d040f14d0,100,44,56,2,3,3,10,6,11.73320007,0
b9792269e045a301cadf3618a78f1f7cdc049497,77,43,34,6,1,1,5,1,10.93593979,0
